Data scrapping of Times Square Restaurants,neg,neu,pos,compound,sentiment_label
230. Super busy for good reason! Food was great and the options for teas were great!! Loved the menu options and variety of ramen!,0.0,0.457,0.543,0.9697,Very Positive
"231. super food, best affordable restaurant near times square!!! Love it, and will return here to taste the other dishes on the menu.",0.0,0.603,0.397,0.9346,Very Positive
"232. Hot and fresh, came out quickly. Small place and you pay a 15 percent up-charge to dine in. Overall worth eating at enjoyed",0.05,0.681,0.269,0.7269,Positive
"233. The restaurant is scrupulously clean. Staff is very pleasant and polite. The steamed duck buns were to die for. All of the food was delicious. Prices are good. Can't wait to go back!



234. I did a four-hour walking tour earlier in the day on a bad knee, so needed to stay in tonight. Ordered delivery from Kung Fu Ramen, food arrived hot, well packaged and delicious. The pork soup dumplings were awesome, as was the chicken hand cut (dao xiao) noodles. Both were great. Highly recommended!



235. The dumplings where absolutely amazing. But the pho was just average or maybe below. It was very blane with no flavor. But the cold noodles where also very good. Service was very fast and pleasant. Will definitely go again. Just not for pho.



236. Went here for lunch after a recommendation from our tour guide, and she was not wrong. We ordered the steamed Soup Dumplings, Hand cut noodles with beef & vegetables, pan-fried pork dumplings and spring rolls. EVERYONE agreed that the Soup Dumplings alone were worth the walk to Hell's Kitchen. Be sure to ask the waiter for advice on how to correctly eat the dumplings so you don't get hot soup all over you. We also loved the noodles and pan-fried dumplings.



237. We waited approximately 15 minutes on a Friday night at 6:30pm to be seated. Service was excellent and all of the dishes we tried were delicious. The pork soup buns and wonton soup buns were both a big hit.



238. Dim sum- yes, Ramen- no. This tiny place is a mixed bag...the ramen was so plain and flavorless we didn't eat it. But the steamed dumplings filled with soup- oh my gosh delicious! As is the pancake with beef and the Peking duck bun.



239. Great food and service, prices are super reasonable and the restaurant is in the Michelin guide!! A must have are the steamed dumplings, although everything else we had was delicious



240. We found this restaurant through trip advisor. It was very close to our hotel. We arrived around 5:30 and had no problem getting a table. We ordered pork dumplings and the house special noodle dish. Both were very good! Nice staff and menu. Very reasonably priced. I am sure we will be back!
Victor's Cafe
LatinSpanishCuban
4.5
241. Very authentic Cuban food. A bit pricey,but worth it for the ambiance and good food. Very good cocktails as well.



242. I can't believe how bad this food was! I hadn't been to Victor's in a while and was looking forward to it. I always loved the Oxtails. They are COVERED in tomato sauce or something. What happened to the nice brown gravy and tenderness hey used to have? The food tasted so commercial and no longer authentic Cuban food. Shame on you Victor's Cafe. You are now officially a tourist trap!



243. This was a perfect choice for a pre-theater dinner. Right across the street from funny girl. Service was excellent, prompt. The food was also delicious. Between the two of us we had a few appetizers, shrimp, dish, and beef dish, as well as a Cuban dessert of guava cake and ice cream.



244. This Cuban restaurant was just right for a Sunday brunch with friends. We had sliders and sea bass, plus a few dishes to share. Service and atmosphere were find.



245. I love this restaurant. It has a huge dining room in back with full skylights, so you get a wonderful ambiance. The servers have been here forever, and they are awesome. Food is great. They have great cocktails and wine. Overall, it's just a great place to visit.



246. I visit NYC regularly and try to see a Broadway show a few times a year. Lots of options in the area but not all are great. Glad I found Victor's Cafe on my last trip. More upscale atmosphere and a nice dinner before a show. The service was friendly and efficient, sangria was amazing and food was excellent. Highly recommend.



247. Excellent food, service and atmosphere! Our Concierge recommended this restaurant and it was a wonderful experience! We Had dinner here before a show. The service was very good as was the food!



248. A wonderful find in a city bustling with restaurants! This place was lively and fun. The service staff was outstanding - always there to refill water and efficiently deliver your food. Delicious cocktails, entrees and desserts! We had a great time and enjoyed our delicious dinner!



249. Victor's cafe was a disappointment from service. Food was very good but service was lacking overall. Also the ambiance of the Cuban cafe is gone with their entertainment which is no longer offered.



250. The Paella was great. The chicken empanadas were sort of cold and limp. We probably did not know what to expect with Toscones - but it turned out to be chewy plantain chips. Service was a bit slow and the inside decor was great.



251. This was an after-show dinner and we were fortunately seated at a quiet table in the back before the dinner rush began. Sharing the delicious guacamole appetizer we wished for more than six chips - but it was delicious and we enjoyed the remaining guacamole with the chips served alongside our Cubano sandwiches - another delicious experience. Dessert was a rich chocolate gelato and crunchy churros. My only warning concerns the size of the Cafe Americano - I did not expect an espresso-sized serving! However, I enjoyed the food, the service and the ambience. Would definitely go again.



252. We usually go to Victor's whenever we are in the theatre district. Lovely setting and the food is delicious. Service is always exemplary. We had really great snapper. Plantains are delicious.



253. We have been coming to NYC for a week of Broadway shows and great food for many years. Victor's Cafe is always at the top of our list! The food is delicious, and the service by Armando is absolutely impeccable. He is also very helpful with suggestions when you have trouble deciding. You cannot go wrong with anything on the menu, but you must save room for dessert!!! The guava berry cobbler with vanilla ice cream is heaven in your mouth!! Always ask for Armando!!



254. Great service and staff Delicious / fresh food Place very clean and elegant Relaxing atmosphere and good choice of music



255. In the theater district, next to Neil Simon Theater, very convenient. Delicious food, great wait staff and good music too. They know how to get you in and out for dinner before a show without making you feel rushed. The Cuban flavors were fabulous. Staff very helpful and thoughtful. Family owned and operated. Highly recommend!!



256. Folks were very nice and attentive. It's a cool vibe venue. The guacamole appetizer was delicious. The pitcher of sangria (red) was wonderful. However, my vegetable paella was very salty. I was unable to finish it! So was a bit disappointed.



257. The service and atmosphere at Victors's was great! We were killing time before a show (the restaurant is right next to the Neil Simon theater where MJ is playing) and we walked in without a reservation. We were seated in the bar area and received EXCELLENT service. If you like Cuban cuisine, I am sure you will love the food, decor and attentive service.



258. We went here for dinner before a 7pm show. The service was excellent, our waiter Diego was very nice. Food was awesome. We ordered the empanadas, croquets, ropa vieja (a classic dish) and salmon. The plantanos were amazing. We also got the tres leches and churros for dissert. We love it here and we can't wait to come back!



259. We had been to Victors for a quick meal before a show in summer of 2019. We were so impressed and couldn't wait to go back for a leisurely dinner. We are from Texas, so this was a rather big deal. Then the pandemic happened. We braved the high transmission rate in NYC and returned tonight with website assurances of outdoor dining. Turns out it no longer exists. If this is important to you, know it is no longer available. We had a lovely dinner at a restaurant with outdoor seating overlooking Bryant Park.



260. We had a pre-show dinner and it was SO good! The service was very good. The decor is great - we were in the in door ""patio"". We had excellent sangria, the 1492 Aperitivo Cubano was the best appetizer sampler plate I have ever had - there were so many delicious things included.",0.047,0.645,0.308,0.9999,Very Positive
We also feasted on Ropa Vieja which was great. And can't forget my favorite boiled Yucca with garlic mojo.,0.102,0.66,0.238,0.5083,Positive
"They got us in and out with plenty of time to make our show. Stress free and delicious.
The Mean Fiddler
IrishBarPub
4.5
261. This is a very loud, dark, wanna be Irish pub. Menu by qr code....if you are over 60....might be best to find another place



262. We had reservations, but when we got there, they said they were too busy so they could not take us!



263. I was under the impression this was an Irish Pub - it's more of a bar seen. Pleasant waitress, good food, so-so ambiance. I would return for drinks at the bar with the very talented bar tenders. Thank you for the delicious peach shots before dinner - a nice surprise!



264. My husband and I really enjoyed our experience at this awesome pub. We decided to go there for a drink and snack while we were waiting for our daughter to finish working. Needless to say we really enjoyed our drinks and spiced cauliflower nd mozzarella sticks. Our server as well as the rest of the staff were very efficient and extremely friendly! We also received a very good green tea shot which was very good as well!",0.008,0.672,0.321,0.9977,Very Positive
"Highly recommend!



265. The old gentleman at the door, was so disrespectful and not professional",0.0,0.819,0.181,0.474,Slightly Positive
"It was a Sunday night ST Patrick's day weekend, he didn't let me i. With my friends cause they were Iris and I was not",0.0,0.876,0.124,0.4767,Slightly Positive
I couldn't believe it,0.0,1.0,0.0,0.0,Neutral
He is at the door and his job it's to make sure everything it's ok not to be a disrespectful man at the door,0.0,0.824,0.176,0.5423,Positive
"He is and african american old man with grey hair.



266. Visited NYC to celebrate my 21st birthday with my family & OMG this bar made my birthday the best ever! Fantastic atmosphere, amazing staff and even better beer! Couldn't recommend enough, i will 100% be back. Don't miss out on an enjoyable evening in this bar, which also sells cracking food! All the best to them :)



267. The blond hair women behind the bar is so rude, In conversation walking off! Cocktails and vibes amazing but she really spoilt it!



268. WOW! What service and amazing spot! We had the best item at this pub. The staff, service and ambience was so good. The DJ was outstanding. A young crowed who knows all the lyrics to the 80's and 90's songs. The service was 10/10. So many ppl stopped by to see if our Sri is needed to be replenished and asked by a few ppl how our food was. If I'm NYC check this place out!!



269. Visited here for lunch during our trip to New York and was nothing short of horrified over the food prices at this pub... ordered a portion of chicken tenders expecting at least some fries to come with it but what came was 3 chicken tenders and some leaves... $19!!! And an extra $10 if you wanted fries... I wouldn't mind paying money for nice food but the tenders were bland. The 2 stars is for the staff as the Irish girl was lovely... but there are much nicer places to eat in New York City, avoid!



270. We had the most amazing time at this place. The food was incredible. The drinks were great quality. The atmosphere was brilliant. Our server was perfect, the best we had the whole time we were in New York, she was so attentive and friendly (sorry we didn't get your name, a red headed girl - 11/16/22 around 7pm). Highly recommend!



271. Average food and service , can only imagine reviews are so good as food are taking part in the bottomless brunch and might be good value",0.028,0.711,0.261,0.9987,Very Positive
"Very expensive for 3 mini sliders , a portion of fries and curry sauce and a veggie burrito was about $80 and service with a smile it was not , waitress was pleasant can't understand the reviews for this place , maybe was an off night



272. Went into the mean fiddler on recommendation and it did not disappoint the atmosphere the music the decor the staff all made for a really great experience in New York. Aisling a really nice young girl from Galway was so polite and helpful drinks where reasonably priced the bar was really clean and the food was amazing . Also if you like they sell packets of Tayto crisps for a little taste of Ireland. If you are looking for a good bar with great food I'd recommend the Mean Fiddler very much



273. We had a blast at The Mean Fiddler! We had Louisa as a host and she was brilliant. The food was banging, drinks were flowing and the service was incredible. Can't recommend this enough, tunes were banging as well. Thank you Louisa from your Scottish gals, we love you so much.



274. The Fish and Chips was excellent. Of course it was even better with a cold Guinness draft. We ate outside in the covered dining area. We thought it was more quiet and allowed for better conversation. Our server Sara did a very nice job as our server too!



275. Stood outside and waited with my friend for an hour as she was waiting to get picked up. Got denied access because ""I was outside waiting"", bouncers were super rude. Laughed at my friend and I, don't recommend coming here, music is good but bouncers are mid.



276. Only 21 allowed inside establishment which we did not know until we arrived to our reservation. Sat out on street covered area which was fine. Food choices were spins on basic pub food - found it to be fun, different and interesting. Food very good, and we had a great server.



277. Food was excellent. Service was very attentive and quick. Drinks were good amd prices seem reasonable. Atmosphere is expected from an Irish pub



278. Was in town for the the boat show. staying is hells kitchen. Ventured out to sample the are bars. Now I only had a few pints of beer so I cant speak for food. But beer was cold, and barkeep was very friendly. Menu looked good. The only real complaint that there was a DJ playing club music really loud, and tuff to have a conversation, not what a look for in an Irish Pub, however I will be back if I'm in the neighborhood.



279. We are a party of four, and ate here after not long arriving in NYC, we were very tired after a long flight, food was good, we all ordered different meals, arrived quickly and hot, good music, was loud in case anyone is noise sensitive. Server was very friendly and helpful.",0.023,0.772,0.205,0.9982,Very Positive
"Second visit again after busy day, while waiting to be seated a server dropped a small dish of tomato sauce on the floor which splashed up on me, she didn't seem to be bothered, more concerned about herself, I had to ask for some paper napkins, I assume either the manager or someone more senior rushed over,was very apologetic, could not have been more helpful, seated us and gave us a free round of drinks, it was only small amount, and I appreciated the gesture of drinks",0.026,0.865,0.109,0.8122,Very Positive
"Id and vaccination passport checked on arrival



280. We came here for dinner before a Broadway show. The DJ had great music going through whole time - it's quite loud, which didn't bother us but I wanted to give a warning in case anyone in your group is sensitive to loud noises. My mom got the fish tacos and I got the Buffalo chicken Mac & cheese. Both were good! The portions were a little on the small side for the price, but all in all we had a good experience.
Burger & Lobster
AmericanSeafoodGluten Free Options
4.5
281. We arrived in NYC after a long days travelling from the UK and decided to come here. I booked online and navigated ourselves from our hotel to the restaurant on Bryant Park. We arrived 10 minutes late ( New York streets are much longer than we are used to back home ??) which was not a problem with the staff member who greeted us upon arrival. We were swiftly taken to our table (we found one closer which looked more comfortable which was not a problem moving to). Orders were again taken promptly and within 15-20 minutes our meals were at the table. We thoroughly enjoyed both the lobsters and burgers, definitely the best place we ate whilst in the city for 3 nights. If we visit again, we would definitely come back!



282. Best lobster in midtown Manhattan. nice place. high quality service. one of the best places to dine in the area. fair prices



283. Really really good food and, although pricey, was very good value for the quality and quantity of the food.",0.01,0.74,0.25,0.9977,Very Positive
"Wonderful lobster roll, lobster and burger (we were hungry!).",0.0,0.667,0.333,0.6114,Positive
They also served Cava which was much nicer than the standard Prosecco in most restaurants.,0.0,0.828,0.172,0.4404,Slightly Positive
Service was friendly and efficient.,0.0,0.333,0.667,0.7184,Positive
"Excellent overall and we will return on our next trip to New York.



284. Look hard ots upstairs! After the initial confusion, found the attractively decorated lounge. Layout and decor is actually beautiful. Known for their lobster rolls and high end burger, I tried the combo with both. Didn't upgrade to the truffle fries ($9) but it was tempting. Burger delish, lobster roll was wonderful. Be back again



285. We discovered this place in 2019 and decided to visit again while in NYC. It was near the theatre we going to so had an early dinner reservation. It was busy so reservations are a must. Our server Jhunry was very attentive. We ordered a bottle of wine and I had the lobster roll which came with a salad and fries. My husband had the steamed lobster that also came with salad, fries and a butter type aoli. His lobster was perfectly cooked. My lobster roll had big chunks of lobster not chopped or shredded lobster. Their house salad dressing on the salad was delicious. The lobster dinner was $38 and my lobster roll was $30. This a great price especially in NYC for this quality. I highly recommend trying this place.



286. Very nice place in Time Square for a good night with a well studied mix of Beef and Lobster. The lobster roll is a good choice (even if the lobster was a little bit too cooked). The wagyu burger was perfect. Price in line for the location.



287. enjoyed a wonderful lunch here right before our matinee next door. Our server, Adam, was super friendly and the atmosphere was quiet and upscale. The food was delish.",0.009,0.766,0.225,0.9975,Very Positive
My teen & I shared calamari and lobster bisque which was great. Then they had the wagyu burger and I had the lobster caesar was also was yummy!,0.0,0.683,0.317,0.8805,Very Positive
"don't miss the cheese cake mouse!



288. Came in January for Restaurant week, which I always enjoy. Loved the entryway with the live Lobster tanks. Food was delicious and the lobster roll extra tasty. Coconut shrimp were also at the top of the menu. I ordered off of the restaurant week menu to try both the Burger & Lobster roll, as pictured. Both were good and I left with zero leftovers.



289. Went in expecting not much, but a really enjoyable evening. Great venue, food was fine and staff friendly. Is there better, yes I'm sure there is, but for location of Times Square, this was fine. I would go back



290. This Restaurant is 5"" located in Cape Town",0.0,0.708,0.292,0.99,Very Positive
"Great decor , ambience ,detailed service by professional waiters",0.0,0.631,0.369,0.6249,Positive
Great appetisers in Happy hour between 1600 - 1730,0.0,0.435,0.565,0.8316,Very Positive
"2 for 1 specials as well as on cocktails ,first class",0.0,0.792,0.208,0.2732,Slightly Positive
"A knockout place to visit especially on weekends & nighttime ,enjoyed Buffalo spicy chicken wings ,also great Calamari fried in a light batter,with mayonnaise sauce was delicious,reasonably priced beers 2 for 1 from 1600 hrs",0.0,0.791,0.209,0.8126,Very Positive
"A must visit to all tourists ,located on Bree St. In the Historic part of town ,close to Hour st. & Bo kaap



291. We've visited other Burger & Lobster restaurants when we've been in London, so we knew we had to pay a visit to the one in New York whilst on holiday. We didn't have a reservation, and expected to wait a while, but we were seated in about 5mins. We had the lobster roll and the B&L combo, and the quality was the exact same high standard as we've had in London. Would absolutely recommend this place.



292. The Connecticut Lobster Roll was a generous portion of sweet lobster on a perfectly buttered and toasted bun. The shoestring fries were flawless.",0.009,0.811,0.18,0.9777,Very Positive
"The cocktail... alas.$16 Midnight in Midtown...I didn't taste the alcohol. Maybe the Boodles Gin just gave the rest of the cocktail a friendly wave, and moved on. Too much ice. A few sips and buh-bye cocktail.



293. We shared the combo burger and lobster and thought both were grand. The burger was huge and the meat was favorable. The lobster roll was good, but could have been somewhat larger (at least for our appetites). They did a nice job with the fries.



294. Service was good in the beginning, cocktails were very good.",0.0,0.78,0.22,0.9631,Very Positive
"We got the combo for two, the burger was very good as were the fries and salad.",0.0,0.834,0.166,0.4927,Slightly Positive
The lobster on the other hand....,0.0,1.0,0.0,0.0,Neutral
We got the Connect lobster roll and grilled lobster. The roll was dry and bland and the grilled lobster was terribly over cooked and tasted like char so badly even the garlic butter couldn't mask it.,0.165,0.777,0.059,-0.6697,Negative
Server did not check back on us and we had a show to catch so we ate it.,0.0,1.0,0.0,0.0,Neutral
"Won't be back.



295. My son and I had seen this restaurant on our way to the hotel so thought we would give it a try. We hadn't made a reservation so we gave it a try. The restaurant was packed, and a small queue (line) was in place, but we were offered a seat at the bar which we took and got served straight away.",0.0,0.962,0.038,0.3291,Slightly Positive
"We chose the lobster and burger (of course) and it was splendid, a great choice and reasonably priced too.",0.0,0.669,0.331,0.836,Very Positive
"Thanks for fitting us in, one definitely not to miss!



296. Our first night in New York and thank goodness I had booked as they were full and with people queuing at the entrance. The food was great, we got a dish for two that had a burger (fantastic) a small grilled lobster with lemon butter (ok), a lobster roll (very good) and fries. Overall the food was great and drinks were good. Service was ok. A little impersonal but they were very busy. I would still recommend.



297. Lovely pre theatre meal here with oysters for starters and burger for main cooked superbly and really tasty , will say you have to push the front door of this restaurant really hard a few people walked off when we were waiting as thought it was closed ! Shanise was our waitress and was friendly and attentive and welcoming



298. Ordered from the ""Restaurant Week"" menu. Great value - our table got a mix of lobster and mussels. The appetizers and desserts were very good. Great casual atmosphere. Spacious setting. Wait staff very attentive.



299. I was by myself and the waiter brought me an already opened 1lt Aqua Panna without even asking me if I wanted. Ordered Bruscheta as appetizers which had no cheese in it, Just tomatoes and the Lobster was ok, nothing special about it. Wouldnt come Back. For 70 dollars many better places in NYC



300. Loved the decor with lobster traps on the ceiling. Waiter was accommodating and the food was great. Ordered the burger and lobster for two. One of the best burgers I have had in a while and the lobster roll was fabulous. The additional 1lb of lobster we had boiled and it was a little over cooked but the claws were really good
Quality Bistro
FrenchAmericanSteakhouse
4.5
301. Probably the 1st time I ever ordered Dover Sole and did not finish it. Too dry and the sauce lacked any flavor. My wife ordered a steak medium rare and got one medium well. No bread service. No salt or pepper on the table and talk about the tables - they were so close I could taste the salad of the person next to me. If you ignore this review and go - stick with the rather good and very creamy mashed potatoes.



302. Gorgeous restaurant in great location. We sat outside in an adorable little spot with two booths that was warm and cozy and beautifully decorated. Our waiter was professional and funny and informative. Please get the butter and bread plate to start it was amazing how you get to see them prepare it in front of you. I suggest lamb chops lemon chicken and steak. My daughter is vegan and they had a special vegan entree. Also please get opera cake. It is gorgeous and incredibly tasty. I can't wait to go back to NYC and eat there again. A sensory experience for your eyes and your stomach. Bravo!!!



303. Went her for a business dinner that my colleague arranged. She had been here before and highly recommended the restaurant. Wow, she was right. Great food, wine and service. The spicy caesar salad was amazing. I had the branzino for an entree and it was really good. I can't wait to go back!



304. The butter service was superb, definitely can shared with about 4 people, but just for the two of us, it was a lot to finish. It's like a meal in itself! The steak, crab cake, brussels sprouts and goat cheese salad were very nice. The spicy bird cocktail served in their signature peacock porcelain cup was a nice touch. Overall, a great dining experience. Highly recommended!



305. The food is good here, but there are aspects that need improvement.",0.028,0.709,0.264,0.9996,Very Positive
1. Why does one always have to play table games? Do they really need to try to seat you closest to the station where the line of servers is standing there like players in front of a goal on a penalty kick?,0.066,0.817,0.116,0.3094,Slightly Positive
"4. The service is fair.



306. Very average food and service , and on the expensive side.",0.0,0.867,0.133,0.3182,Slightly Positive
"I guess that's why we were able to make a reservation a week before on a Saturday night.



307. Went before going to the Metropolitan, expecting the experience of a French Bistro... which it only bare the name. The food was very good, but the dining room is so large with tall ceiling that it is very noisy. Service was average for that kind of place, we had to ask for haricots that we had ordered and mistakingly replaced by Brussel sprouts. Asked for bread that never came. There are certainly cheaper place that we went to in our trip to NYC that we're as good as this one.



308. After my wife and I attended a Broadway play, we had dinner at Quality Bistro. Quality Bistro is a sophisticated upscale restaurant serving French and American cuisine. They have a full bar, extensive wine list and outdoor seating. We began with a delicious crab cake and a salad of goat cheese, asparagus and pea pods. Both were very good. Entrees were the scallops and the branzino. We shared a side dish of corn creme brulee, The scallops were seared perfectly and the branzino light and flaky. Delicious desserts of chocolate mousse and the pistachio creme brulee. Quality Bistro is an elegant and delicious dining experience.



309. My wife and i went for dinner befoe a show and we loved everyhing about Quality - beautiful french decor, fantastics service and excellent food. We indulged with ""butter service"" - probably better for more than 2 people - but its was awesome. Steak frites was very good - large steak; and the halibut was excellent.



310. Overall, we had a pleasant experience. The food was amazing, and the French menu had a nice variety of options. The steak was a bit chewy, but the rest of the food was great. The service was fast, but not necessarily the friendliest. Quality Bistro is definitely not the cheapest place, but the quality of the food and atmosphere is certainly there.



311. Without a doubt, sit in the bar with the arched mirror and start with the el diablo cocktail. At our table we ordered the butter service, which was decadent. The tuna tartar starter is delicious. You can't go wrong with the Chateaubriand flambee. If you're looking for a side dish and dessert in one, definitely get the corn creme brulee.",0.014,0.722,0.264,0.9991,Very Positive
"The manager said to us ""large private party in the back slowed down the kitchen and you should have ordered your steaks rare! Cooking a Chateubrian medium adds 15 minutes"". Oh please.



316. Yes to the butter service and any steak on menu. Also say yes to corn creme brulee. It was all delicious. Also great were the marinated leeks and ham as part of butter service. In nicer part of town....great location and pretty restaurant.



317. I've eaten at Quality Meats, so I knew we would be getting a good meal here! The food was so good, service was spot on. The ambiance and decor are ""post worthy"". I loved the look and feel of this place! Highly recommend!



318. We had a very good meal and experience! Great ambiance, good food and drinks , warm service. It made for a nice evening out. The Dover sole was on the dry side otherwise everything else was well prepared. We will return.



319. Great evening, drinks, food, and service were all great! Close enough to the theater district to walk. The butter service is must to start your dining experience here. Enjoy!



320. If you want somewhere to go to celebrate a special accession this is a nice place to go to We had the sample menu and sample wine it was lovely
La Masseria
ItalianPizzaApulian
4.5
321. The bread did not taste fresh. It was served with lentils and olive oil. The lentils had a good flavor. The calamari were tender and tasted good with just lemon. However, they came with a bland marinara. Finally, I ordered pasta with Italian sausage and broccolini. It was disgusting. There was so much broccolini and leaves that the sauce had turned into a bitter green slurry. Everything was covered in green slime. The pasta, the sausage, the garlic, etc. I should have sent it back but I was too tired and didn't feel like arguing. The lady next to me sent her dish back twice. Not kidding. I would never eat here again.



322. Great italian spot in midtown. Ambiance is nice, service is excellent. Food is always good. Wine list is a little expensive, but still good choices.



323. The restaurant is beautiful and the food can be good but some of the staff are incredibly poor bordering on absolutely hopeless. Especially some staff that has actually been there for a while. Extremely disappointing experience after having visited before.



324. Very good but not really outstanding Italian food in a nice atmosphere with good service. Price is high for what you get. The biggest plus is they are open after Broadway shows finish.



325. It pains me to have to give one of my favorite restaurants a 1 star rating. Whenever I am in NYC, this is one of my fav places! However, this visit, not so much. We had to ask for bread, drinks to be refilled. I asked for butter for the bread and it came out after them meal. Literally I would see my drink at the bar and wait and wait and wait for it to be delivered. I would like to say this was due to a lack of employees but this was not the case. The employees were more interested in standing around talking than working. The saving grace was the food was excellent! The tip we left need to go to the chef and kitchen staff. So disappointing!



326. Went on recommendation from a friend. Food was excellent. Service was unacceptable especially for caliber of restaurant. Server was more interested in table of women behind us. We had to ask several times for drinks, bread( as every table around us was getting bread and drinks). Waiters and manager having loud personal conversation behind us while we tried to eat. Food is only reason would give 3 stars.



327. The food is fantastic .. octopus and rr meatballs were super .. steak and spaghetti too .. what sets it apart is its manager ... we had issues with amateur waiters at the restaurant and pointed it out to the manager - he swung out experience 360 degrees .. hospitality industry needs more characters like these .. hands on and completely fantastic .. Manuel take a bow !



328. We loved La Masseria so much we went back two evenings later! Delicious, beautiful, fine dining with excellent service - I don't know what else to say except definitely make a reservation at this lovely restaurant in the theater district of NYC. Over the two dinners, our group sampled two appetizers (including the burrata special - extraordinary!), the artichoke and Parmesan salad, penne with bacon and radicchio, the salmon (so good we ordered it to share the second evening), and the chocolate tart. We loved each thing we tried and the whole experience! Absolutely wonderful!



329. Very confused on why they have so many great reviews. Food is not good at all. Easily one of the worst italian restaurants I have ever visited. Please people try other places. It was just not good at all. Awful honestly.



330. One of the best Italian restaurants in New York in our opinion. The limone scaloppine was great, as was the orecchiette, and spaghetti bolognese.



331. We have been coming here since it opened. Not as often since moving Downtown.",0.061,0.713,0.226,0.9995,Very Positive
The Greeting and the Table we like was there for us.,0.0,0.638,0.362,0.6249,Positive
The Staff many the same and the food just as delicious.,0.0,0.73,0.27,0.5719,Positive
Just a good as always.,0.0,0.508,0.492,0.4404,Slightly Positive
"Consistency of Wonderful people is a key to their success.



332. We had a great time coming here before a show with my family and mother. It's a nice atmosphere with a great location near the Broadway shows and the service was very good. Food is just OK. Kind of what you would expect from a standard Italian restaurant nothing special.



333. Called in here at the start of a family trip to NYC, needed a good Italian restaurant nearby to visit. This place is great and very authentic, the food is really well presented and the staff extremely friendly and professional. We mostly had pasta dishes but everything else that we saw delivered to other tables looked superb.",0.013,0.758,0.229,0.975,Very Positive
"I would definitely recommend, gave 4 stars instead of 5 ads only thing was tables are a little too tightly packed.



334. Once again, the food, ambiance, service, location all outstanding. Linguini vongole, chicken Paillard possible the best in NYC. Always excellent value seating outdoors and indoors!



335. We had a very good dinner at La Masseria. I enjoyed their crab and asparagus risotto, although it surprisingly needed salt. My wife loved the Ravioli Angelina. Overall, a very good experience.



336. I get busy restaurants have to be efficient, but there was 1/4 of the tables empty. I ordered the steamed spinach, it came out in 1 minute. I get that, quick steam and all - take your time between ordering courses. I waited 10 minutes and ordered the chicken part...now, if you know Italian, no Italian serves mashed potatoes with chicken parmigiana. It is always pasta, but the owner explained 'to keep it simple they serve the same sides with all entrees.' But I said it's not Italian. No reply except shrugged shoulders. It arrives about 2 minutes after I ordered it so sure it was pre cooked and heated. chewy later of mozzarella on top. $100 later PASS.



337. I rarely give a 5 - as you can see from my reviews but this spot deserves all 5 of them - from the hosts to servers - to bus boys to kitchen workers - your hard work is showing - big call out to Joel - he made us feel great and we were well taken care of - his presentations of specials and menu made our heart sing!!!



338. Decent place with very hood service.",0.033,0.809,0.158,0.9856,Very Positive
I would rate it with an average 4.56 out of 5 based on the following criteria:,0.0,1.0,0.0,0.0,Neutral
* Location - 4.6,0.0,1.0,0.0,0.0,Neutral
* Food - 4.8,0.0,1.0,0.0,0.0,Neutral
* Service - 4.9,0.0,1.0,0.0,0.0,Neutral
* Aspect - 4.3,0.0,1.0,0.0,0.0,Neutral
